Angle,Intens,Altitude,Pressure
5.148721293382897,51.0724,3000,701.2
5.2359877559828965,48.651199999999996,3000,701.2
5.323254218582896,45.818200000000004,3000,701.2
5.410520681181897,42.663000000000004,3000,701.2
5.497787143781896,39.1006,3000,701.2
5.585053606381897,35.337399999999995,3000,701.2
5.672320068981897,31.3213,3000,701.2
5.759586531580896,27.1744,3000,701.2
5.846852994180897,23.0392,3000,701.2
5.934119456780897,19.1119,3000,701.2
6.021385919380896,15.184800000000001,3000,701.2
6.108652381979897,11.3663,3000,701.2
6.1959188445798965,8.38867,3000,701.2
6.283185307179896,7.0660300000000005,3000,701.2
6.370451769778897,8.375,3000,701.2
-1.0347278589506459e-13,2.32755,10000,265.0
0.08726646259989645,2.72648,10000,265.0
0.1745329251998966,3.69734,10000,265.0
0.26179938779889667,4.9517999999999995,10000,265.0
